Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Partner Quote as User - Try,Chrome 116.0.0.0,,,2023-09-22 12:00:08,2023-09-22 12:02:40,2m - 31.767s,FAILED
,,,,,,,
Test Cases/LogintoSalesforce-Admin,Chrome 116.0.0.0,This testcase is to successfully login to salesforce using scripts.,,2023-09-22 12:00:08,2023-09-22 12:00:31,23.249s,PASSED
openBrowser(LoginURL),Chrome 116.0.0.0,,,2023-09-22 12:00:08,2023-09-22 12:00:16,8.130s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-22 12:00:16,2023-09-22 12:00:17,0.182s,PASSED
"setText(findTestObject(""LoginPage/Username""), UserName)",Chrome 116.0.0.0,,,2023-09-22 12:00:17,2023-09-22 12:00:18,1.139s,PASSED
"setText(findTestObject(""LoginPage/Password""), Password)",Chrome 116.0.0.0,,,2023-09-22 12:00:18,2023-09-22 12:00:19,0.791s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 116.0.0.0,,,2023-09-22 12:00:19,2023-09-22 12:00:31,12.750s,PASSED
,,,,,,,
Test Cases/CreatingResellerAccount-VIPRE-Admin,Chrome 116.0.0.0,,,2023-09-22 12:00:31,2023-09-22 12:01:02,30.391s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-22 12:00:32,2023-09-22 12:00:37,5.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AccountCreationPage/VIPRESalesElement""), 30)",Chrome 116.0.0.0,,,2023-09-22 12:00:37,2023-09-22 12:00:37,0.428s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/AccountObject/AccountsTab""), 30)",Chrome 116.0.0.0,,,2023-09-22 12:00:37,2023-09-22 12:00:38,0.750s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/AccountObject/NewButtononAccount""), 30)",Chrome 116.0.0.0,,,2023-09-22 12:00:38,2023-09-22 12:00:39,1.388s,PASSED
"click(findTestObject(""Object Repository/AccountRecordTypes/Reseller""))",Chrome 116.0.0.0,,,2023-09-22 12:00:39,2023-09-22 12:00:40,1.048s,PASSED
"click(findTestObject(""Object Repository/AccountRecordTypes/NextButton""))",Chrome 116.0.0.0,,,2023-09-22 12:00:40,2023-09-22 12:00:41,0.625s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AccountRecordTypes/ResellerTextVerify""), 20, STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-22 12:00:41,2023-09-22 12:00:44,2.929s,PASSED
"sendKeys(findTestObject(""AccountCreationPage/AccountName""), AccountName_Reseller_VIPRE)",Chrome 116.0.0.0,,,2023-09-22 12:00:44,2023-09-22 12:00:45,0.794s,PASSED
"scrollToElement(findTestObject(""Object Repository/AccountCreationPage/AccountCurrencyLabel""), 20)",Chrome 116.0.0.0,,,2023-09-22 12:00:45,2023-09-22 12:00:45,0.443s,PASSED
"scrollToElement(findTestObject(""Object Repository/AccountCreationPage/BillingCountryLabel""), 20)",Chrome 116.0.0.0,,,2023-09-22 12:00:45,2023-09-22 12:00:46,0.422s,PASSED
"click(findTestObject(""Object Repository/AccountCreationPage/BillingCountryNone""))",Chrome 116.0.0.0,,,2023-09-22 12:00:46,2023-09-22 12:00:46,0.594s,PASSED
"click(findTestObject(""Object Repository/AccountCreationPage/BillingCountryBahrain""))",Chrome 116.0.0.0,,,2023-09-22 12:00:46,2023-09-22 12:00:47,0.560s,PASSED
"setText(findTestObject(""AccountCreationPage/BillingStreet""), BillingStreet)",Chrome 116.0.0.0,,,2023-09-22 12:00:47,2023-09-22 12:00:49,1.907s,PASSED
"setText(findTestObject(""AccountCreationPage/BillingCity""), BillingCity)",Chrome 116.0.0.0,,,2023-09-22 12:00:49,2023-09-22 12:00:50,1.237s,PASSED
"setText(findTestObject(""AccountCreationPage/PostalCode""), PostalCode)",Chrome 116.0.0.0,,,2023-09-22 12:00:50,2023-09-22 12:00:51,1.126s,PASSED
