Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DirectAccount-DirectCustomerContract-VIPRE-User,Chrome 116.0.0.0,,,2023-09-23 13:41:11,2023-09-23 13:44:10,2m - 58.685s,PASSED
,,,,,,,
Test Cases/LoginasVIPREUser,Chrome 116.0.0.0,,,2023-09-23 13:41:11,2023-09-23 13:42:02,50.115s,PASSED
"callTestCase(findTestCase(""Test Cases/LogintoSalesforce-Admin""), null)",Chrome 116.0.0.0,,,2023-09-23 13:41:12,2023-09-23 13:41:29,17.092s,PASSED
"click(findTestObject(""Object Repository/UserLogin/SetUp""))",Chrome 116.0.0.0,,,2023-09-23 13:41:29,2023-09-23 13:41:33,4.202s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-23 13:41:33,2023-09-23 13:41:38,5.007s,PASSED
"click(findTestObject(""Object Repository/UserLogin/SetUpforCurrentApp""))",Chrome 116.0.0.0,,,2023-09-23 13:41:38,2023-09-23 13:41:38,0.475s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-23 13:41:38,2023-09-23 13:41:43,5.006s,PASSED
switchToWindowIndex(1),Chrome 116.0.0.0,,,2023-09-23 13:41:43,2023-09-23 13:41:44,0.043s,PASSED
"setText(findTestObject(""Object Repository/UserLogin/SearchSetUp""), LoginUserNameVIPRE)",Chrome 116.0.0.0,,,2023-09-23 13:41:44,2023-09-23 13:41:45,1.732s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-23 13:41:45,2023-09-23 13:41:50,5.013s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/UserLogin/SelectSearchUser"", [""value"":LoginUserNameVIPRE]), 20)",Chrome 116.0.0.0,,,2023-09-23 13:41:50,2023-09-23 13:41:51,0.493s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-23 13:41:51,2023-09-23 13:41:56,5.007s,PASSED
"switchToFrame(findTestObject(""Object Repository/UserLogin/UserIFrame""), 20)",Chrome 116.0.0.0,,,2023-09-23 13:41:56,2023-09-23 13:41:56,0.367s,PASSED
